2053 [2012-03-25 13:23:31,409] - DEBUG - zeitgeist.fts - Search '((c*)) AND ((zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Audio) OR (zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#TVShow OR zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#Movie OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Video) OR (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Icon OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#VectorImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Cursor OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#RasterImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Image) OR (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#SourceCode OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Spreadsheet OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PaginatedTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#TextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#HtmlDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#MindMap OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PlainTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Presentation OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Document) OR (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Website) OR (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#OperatingSystem OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Application OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Software)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Audio)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#TVShow OR zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#Movie OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Video)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Icon OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#VectorImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Cursor OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#RasterImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Image)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#SourceCode OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Spreadsheet OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PaginatedTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#TextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#HtmlDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#MindMap OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PlainTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Presentation OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Document)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Website)))' gave 152 hits in 3.91983985901ms
2053 [2012-03-25 13:23:31,445] - DEBUG - zeitgeist.engine - Found 36 events in 0.023711s
2053 [2012-03-25 13:23:31,449] - DEBUG - zeitgeist.engine - Got 0 raw events in 0.003357s
2053 [2012-03-25 13:23:31,450] - DEBUG - zeitgeist.engine - Got 36 events in 0.000381s
2053 [2012-03-25 13:23:31,450] - DEBUG - zeitgeist.engine -     Where time spent in _get_event_from_row in 0.000000s
2053 [2012-03-25 13:23:31,450] - DEBUG - zeitgeist.engine -     Where time spent in _get_subject_from_row in 0.000000s
2053 [2012-03-25 13:23:31,451] - DEBUG - zeitgeist.engine -     Where time spent in apply_get_hooks in 0.000000s
2053 [2012-03-25 13:23:31,561] - DEBUG - zeitgeist.fts - Search '((ch*)) AND ((zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Audio) OR (zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#TVShow OR zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#Movie OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Video) OR (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Icon OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#VectorImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Cursor OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#RasterImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Image) OR (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#SourceCode OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Spreadsheet OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PaginatedTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#TextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#HtmlDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#MindMap OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PlainTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Presentation OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Document) OR (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Website) OR (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#OperatingSystem OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Application OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Software)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Audio)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#TVShow OR zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#Movie OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Video)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Icon OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#VectorImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Cursor OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#RasterImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Image)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#SourceCode OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Spreadsheet OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PaginatedTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#TextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#HtmlDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#MindMap OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PlainTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Presentation OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Document)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Website)))' gave 7 hits in 4.04787063599ms
2053 [2012-03-25 13:23:31,565] - DEBUG - zeitgeist.engine - Found 3 events in 0.002294s
2053 [2012-03-25 13:23:31,567] - DEBUG - zeitgeist.engine - Got 2 raw events in 0.000644s
2053 [2012-03-25 13:23:31,567] - DEBUG - zeitgeist.engine - Got 3 events in 0.000645s
2053 [2012-03-25 13:23:31,567] - DEBUG - zeitgeist.engine -     Where time spent in _get_event_from_row in 0.000121s
2053 [2012-03-25 13:23:31,567] - DEBUG - zeitgeist.engine -     Where time spent in _get_subject_from_row in 0.000089s
2053 [2012-03-25 13:23:31,567] - DEBUG - zeitgeist.engine -     Where time spent in apply_get_hooks in 0.000022s
2053 [2012-03-25 13:23:31,670] - DEBUG - zeitgeist.fts - Search '((chr*)) AND ((zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Audio) OR (zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#TVShow OR zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#Movie OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Video) OR (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Icon OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#VectorImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Cursor OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#RasterImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Image) OR (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#SourceCode OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Spreadsheet OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PaginatedTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#TextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#HtmlDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#MindMap OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PlainTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Presentation OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Document) OR (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Website) OR (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#OperatingSystem OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Application OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Software)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Audio)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#TVShow OR zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#Movie OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Video)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Icon OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#VectorImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Cursor OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#RasterImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Image)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#SourceCode OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Spreadsheet OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PaginatedTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#TextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#HtmlDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#MindMap OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PlainTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Presentation OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Document)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Website)))' gave 7 hits in 3.4601688385ms
2053 [2012-03-25 13:23:31,673] - DEBUG - zeitgeist.engine - Found 3 events in 0.001258s
2053 [2012-03-25 13:23:31,673] - DEBUG - zeitgeist.engine - Got 0 raw events in 0.000211s
2053 [2012-03-25 13:23:31,673] - DEBUG - zeitgeist.engine - Got 3 events in 0.000234s
2053 [2012-03-25 13:23:31,674] - DEBUG - zeitgeist.engine -     Where time spent in _get_event_from_row in 0.000000s
2053 [2012-03-25 13:23:31,674] - DEBUG - zeitgeist.engine -     Where time spent in _get_subject_from_row in 0.000000s
2053 [2012-03-25 13:23:31,674] - DEBUG - zeitgeist.engine -     Where time spent in apply_get_hooks in 0.000000s
2053 [2012-03-25 13:23:31,834] - DEBUG - zeitgeist.engine - Found 33 events in 0.009533s
2053 [2012-03-25 13:23:31,837] - DEBUG - zeitgeist.engine - Got 0 raw events in 0.002500s
2053 [2012-03-25 13:23:31,838] - DEBUG - zeitgeist.engine - Got 33 events in 0.000375s
